id,geometry
38,"POLYGON ((108.22107760456971 16.060449659377863, 108.22123943090298 16.06043671078132, 108.22123377345821 16.060404342342846, 108.22107007827313 16.060413697168926, 108.22107760456971 16.060449659377863))"
39,"POLYGON ((108.22126188287855 16.06049062952086, 108.22133995250411 16.0604616746995, 108.22132489558463 16.060387951373368, 108.22125609841413 16.06040429321749, 108.22126188287855 16.06049062952086))"
40,"POLYGON ((108.22126780283583 16.060634531545734, 108.22135152151594 16.060634347297775, 108.22135133518867 16.06055519443023, 108.22125461057624 16.06056260305029, 108.22126780283583 16.060634531545734))"
41,"POLYGON ((108.22125552596503 16.060556304752414, 108.2213317966033 16.060553438495297, 108.2213241898025 16.0604832966492, 108.22125910707636 16.060496931912727, 108.22125552596503 16.060556304752414))"
42,"POLYGON ((108.22110874157318 16.060636680455556, 108.22116457942683 16.060647351241744, 108.22115329206352 16.06059430739911, 108.22110678381004 16.06059530918425, 108.22110874157318 16.060636680455556))"
43,"POLYGON ((108.22116177610486 16.060641960594904, 108.22124455823113 16.06063908004199, 108.22124063629923 16.060553639109894, 108.22119229092476 16.060564539115834, 108.22119605197018 16.060581620753165, 108.22117000828153 16.0605825775236, 108.22116177610486 16.060641960594904))"
44,"POLYGON ((108.22078019973603 16.06075928101538, 108.22098021142331 16.060766036980727, 108.22099198676668 16.06063109071891, 108.22078925438115 16.06065402322334, 108.22078019973603 16.06075928101538))"
45,"POLYGON ((108.22098937386598 16.06070665186969, 108.22105450111735 16.060711905439184, 108.2210626867748 16.060632734153838, 108.22099571817583 16.06063557985782, 108.22098937386598 16.06070665186969))"
46,"POLYGON ((108.22108815366657 16.06078199000212, 108.22113558582264 16.060778287780156, 108.22113807803295 16.06065145715732, 108.22109436038907 16.06065245280073, 108.22108815366657 16.06078199000212))"
47,"POLYGON ((108.22090083065349 16.06063309011872, 108.22098173544195 16.060623018042616, 108.22097592570472 16.060525888156132, 108.2208829134553 16.060529690567467, 108.22090083065349 16.06063309011872))"
48,"POLYGON ((108.22099104386469 16.060625695978025, 108.22107566735852 16.060614716218925, 108.22107195499295 16.06061832226138, 108.22105328947814 16.060592278715063, 108.22107473926714 16.060615617729542, 108.22106428479808 16.060521196470695, 108.22098803320698 16.06053215781241, 108.22099104386469 16.060625695978025))"
49,"POLYGON ((108.2205969275766 16.060750689140416, 108.22069554655971 16.060757668157002, 108.22069890370942 16.06060295208796, 108.22060404368447 16.06061215525533, 108.2205969275766 16.060750689140416))"
50,"POLYGON ((108.22072400133808 16.060595251435725, 108.22076956669996 16.06058885499163, 108.22076387126103 16.060540296178583, 108.22073036688552 16.060533174073473, 108.22069877578693 16.060548534486323, 108.22069976942686 16.060575516376517, 108.22071836088708 16.06057007869793, 108.22072400133808 16.060595251435725))"
51,"POLYGON ((108.22081244506832 16.060626538432185, 108.2208728852939 16.060616511387032, 108.22087082393539 16.060531066353153, 108.22081408975963 16.06053478896568, 108.22081244506832 16.060626538432185))"
52,"POLYGON ((108.22056679204891 16.06059379799503, 108.22067560306421 16.06058366471372, 108.22066986536245 16.060517116607567, 108.22060197292782 16.06052266262549, 108.22055921933399 16.060538047547084, 108.22056679204891 16.06059379799503))"
53,"POLYGON ((108.22123140772298 16.060387257635675, 108.221300207007 16.06037181526398, 108.22129916036093 16.060322346767375, 108.22122011189178 16.060330615937566, 108.22123140772298 16.060387257635675))"
54,"POLYGON ((108.22112447419374 16.06040458281884, 108.22123142465729 16.060394453351158, 108.22122388775183 16.06035399382594, 108.22111971946323 16.060360519292495, 108.22112447419374 16.06040458281884))"
55,"POLYGON ((108.2210861918295 16.060343503133435, 108.22110294400653 16.06034706415912, 108.22111135395515 16.06036323610276, 108.22116994002121 16.06035591146198, 108.22115958711404 16.060304664500165, 108.2211158928249 16.06031555425502, 108.22107960209024 16.060310237271597, 108.2210861918295 16.060343503133435))"
56,"POLYGON ((108.22104885450656 16.06028871764545, 108.22103474907297 16.060223986893284, 108.22091757911637 16.060239535547836, 108.22089886923733 16.06019460323127, 108.22083565967303 16.06021363106105, 108.22087312806435 16.06032418338693, 108.22104885450656 16.06028871764545))"
57,"POLYGON ((108.22107493836339 16.060304850715553, 108.2211214359684 16.060299351616802, 108.22110071961025 16.06019236036391, 108.22108025720462 16.060193304844624, 108.22108579188354 16.06017350434927, 108.22104395591343 16.060183490532086, 108.22104495382847 16.06021227134935, 108.22105889633299 16.06020774333658, 108.22107493836339 16.060304850715553))"
58,"POLYGON ((108.22112317151961 16.060246279120953, 108.22117802402894 16.060233565877382, 108.22115922096967 16.06014905714866, 108.22110900892791 16.060157262833258, 108.22112317151961 16.060246279120953))"
59,"POLYGON ((108.22118554822057 16.060268628618356, 108.22124228442819 16.060265805373984, 108.22122428665732 16.060128226202202, 108.22117409578883 16.06014542654651, 108.22118554822057 16.060268628618356))"
60,"POLYGON ((108.22092935717487 16.060501255165114, 108.22107257942436 16.06048834760312, 108.2210575903129 16.060443407118395, 108.22092557711493 16.060476078342113, 108.22092935717487 16.060501255165114))"
61,"POLYGON ((108.22090975936737 16.06047431418628, 108.22104085928787 16.060448840733933, 108.22102679404556 16.060401199807234, 108.22089106638875 16.06043657758635, 108.22089204524667 16.06045726322394, 108.22090877839213 16.060452729084382, 108.22090975936737 16.06047431418628))"
62,"POLYGON ((108.22148001215595 16.060488350465562, 108.2215246451399 16.060481056445557, 108.22151326661594 16.060389335654232, 108.221479796129 16.060396605096777, 108.22148001215595 16.060488350465562))"
63,"POLYGON ((108.22138048849155 16.06049216742765, 108.22142419127374 16.060484875475957, 108.22142412986145 16.06045879100821, 108.22145110373864 16.060457832159546, 108.22144733632094 16.0604380521338, 108.22145847550446 16.060428133451794, 108.22145465090632 16.06038406788714, 108.2213542097905 16.060393283670003, 108.22138048849155 16.06049216742765))"
64,"POLYGON ((108.22138806566724 16.060549716769533, 108.22147082868867 16.0605387409507, 108.22147441820746 16.060482965966628, 108.22138420931908 16.060492159237658, 108.22138806566724 16.060549716769533))"
65,"POLYGON ((108.22146198878414 16.06033997774858, 108.22152898692723 16.060349724403164, 108.2215464850351 16.060275029942833, 108.22147110659267 16.060261703866217, 108.22146198878414 16.06033997774858))"
66,"POLYGON ((108.22149615861059 16.06023466464025, 108.22155854170111 16.060259712421214, 108.22160121041665 16.0602083487273, 108.22152673466668 16.060183327583804, 108.22149615861059 16.06023466464025))"
